,0
Système d'exploitation, Windows 10Professionnel 64bits
Famille OS, Microsoft Windows 10
Langue de l'OS, Français
Système d'exploitation fourni, Oui
Marque processeur, Intel
Processeur, Intel Core i3
Plateforme (Proc.), Intel Kaby Lake
Type de processeur, Intel Core i3-8130U (Dual-Core 2.2GHz / 3.4GHz Turbo - Cache 4Mo)
Fréquence CPU, 2.2GHz
Nombre de core, 2
Taille de la mémoire, 8Go
Nombre de barrettes, 2
Nombre de slots mémoire disponibles, 0
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2400MHz
Taille de mémoire Max, 20Go
Chipset graphique, Intel UHD Graphics 620
Ecran tactile, Non
Type de Dalle, Dalle TN
Type d'écran, LED
Taille de l'écran, 14pouces
Résolution Max, 1920x1080pixels
Format de l'écran, 16/9
Ecran large, Oui
Dalle mate/antireflets, Oui
Dalle brillante, Non
NVIDIA G-SYNC, Non
VR Ready (réalité virtuelle), Non
Taux de rafraîchissement, 60Hz
Configuration disque(s), HDD-1To
Disque dur, 1To
Disque secondaire, Sans disque secondaire
Type de Disque, HDD (Hard Disk Drive)
Vitesse de rotation, 5400RPM
Interface du disque dur, Serial ATA
Nombre de disques, 1
Nombre de disques max, 1
Emplacement mSATA/M.2, M.2 (occupé)
Lecteur Optique, Aucun
Lecteur de cartes," SD (Secure Digital),  Multimedia Card,  SDHC"
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil, Wi-Fi AC
Technologie Bluetooth, Bluetooth 4.1
Sans-fil, Oui
Webcam, Oui
Type de H.P, Intégrés
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Non
Clavier RGB, Non
Pavé numérique, Non
Lecteur biométrique, Oui
Office fourni, Non
Connecteur(s) disponible(s)," 1xRJ45,  1xHDMI Femelle,  1xVGA (D-sub 15Femelle),  1xJack 3,5mm Femelle Stéréo,  2xUSB-3.0"
Couleur, Gris
Profondeur, 247mm
Largeur, 343mm
Epaisseur, 20.3mm
Poids, 1.75kg
Gamme, Lenovo série V
Ultrabook, Non
Hybride / Convertible, Non
Autonomie, 6Heure(s)
Nombre de cellules, 2
Batterie amovible, Non
Chargeur secteur USB-C, Non
Garantie commerciale, 1année constructeur
Garanties légales, Voir les modalités
