,0
Désignation, LDLC PC ReNoir
Marque, LDLCLDLC
Modèle, PC RENOIR
Système d'exploitation, Sans OS
Système d'exploitation fourni, Non
Plateforme (Proc.), AMD Zen 2
Type de processeur, AMD Ryzen 9 3900X (12-Core 3.8GHz / 4.6GHz Turbo - GameCache 70Mo - TDP-105W)
Processeur, AMD Ryzen 9
Fréquence CPU, 3.8GHz
Chipset, AMD X570
Taille de la mémoire, 16Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 3000MHz
Capacité maximale de RAM par slot, 32Go
Capacité maximale de RAM, 128Go
Configuration disque(s), SSD-480Go + HDD-2To
Disque dur, SSD-480Go
Disque secondaire, HDD-2To
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - PCI-E-3.0 4x
Lecteur Optique, Aucun
Lecteur de disquettes, Non
Chipset graphique, AMD Radeon RX-5700XT
Taille mémoire vidéo, 8Go
Type de multi-GPU, Aucun
VR Ready (réalité virtuelle), Oui
Sans-fil, Non
Norme(s) réseau, 10/100/1000Mbps
Connecteurs panneau avant," 1xCasque (Jack 3.5mm Femelle),  1xMicro (Jack3.5mm Femelle),  2xUSB-3.0"
Connecteurs panneau arrière," 2xSMA Femelle,  5xJack 3,5mm Femelle Stéréo,  1xAudio numérique S/PDIF Optique,  Bouton màj BIOS,  1xMiniDin 6Femelle (PS/2),  1xRJ45Femelle,  2xUSB-2.0,  2xUSB-3.0,  3xUSB-3.1,  1xUSB-3.1Type C,  3xDisplayPort Femelle,  1xHDMI Femelle"
Clavier et souris fournis, Non
Format de PC, Tour
Format du boitier, Moyen Tour
Puissance, 750W
Monté, Oui
Garantie légale, Voir les modalités
