,0
Système d'exploitation, Windows 10Famille 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), AMD Zen+
Type de processeur, AMD Ryzen 5 2600 (6coeurs / 12threads - 3.40Ghz - Turbo 3.90Ghz - Cache 20Mo - TDP-65W)
Processeur, AMD Ryzen 5
Fréquence CPU, 3.4GHz
Modèle refroidissement CPU, AMD Wraith Stealth Cooler
Chipset, AMD B450
Modèle de la carte mère, Gigabyte B450Aorus M
Taille de la mémoire, 16Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 3600MHz
Marque de la RAM, G.Skill
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 64Go
Configuration disque(s), SSD-500Go
Modèle du SSD, Kingston A2000NVMe
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - PCI-E NVMe
Lecteur Optique, Aucun
Chipset graphique, AMD Radeon RX-5600XT
Taille mémoire vidéo, 6Go
Référence de la carte graphique, Sapphire PULSE Radeon RX-5600XT
Nombre de ports/Contrôleur Ethernet, 1xIntégré
Connecteurs panneau avant," 2xJack 3,5mm Femelle Stéréo"
Connecteurs panneau arrière," 6xJack 3,5mm Femelle Stéréo,  2xUSB-2.0,  4xUSB-3.0,  2xUSB-3.1,  3xDisplayPort Femelle"
Format de PC, Tour
Format du boitier, Moyen Tour
Modèle du boitier, Cooler Master MasterboxQ300L
Puissance, 500W
Modèle de l'alimentation, Seasonic S12III Bronze
Monté, Oui
Gamme, Performance
Garanties légales, Voir les modalités
